Timestamp,Label,EXG Channel 0 (Fp1),EXG Channel 1 (Fp2),EXG Channel 2 (C3),EXG Channel 3 (C4),EXG Channel 4 (P7),EXG Channel 5 (P8),EXG Channel 6 (O1),EXG Channel 7 (O2),EXG Channel 8 (F7),EXG Channel 9 (F8),EXG Channel 10 (F3),EXG Channel 11 (F4),EXG Channel 12 (T7),EXG Channel 13 (T8),EXG Channel 14 (P3),EXG Channel 15 (P4)
1679629534.048728,0,-57952.954823,-63458.122427,-63235.364942,-47562.031157,-44864.421471,-62333.673219,-47018.436732,-68673.454961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1679629534.048762,0,-57975.060698,-63480.317709,-63363.999231,-47681.165955,-44922.558358,-62351.129931,-47021.387162,-68668.291708,-71303.1824,-66933.192841,187500.0,-187500.022352,-53219.168272,-57704.023445,-69969.319698,-41883.346961
1679629534.048779,0,-57952.060753,-63456.49075,-63260.801227,-47583.868812,-44872.311636,-62349.498254,-47008.356095,-68659.820397,-71323.097804,-66921.301713,187500.0,-187500.022352,-53217.670705,-57698.390806,-69989.279805,-41933.772496
1679629534.048797,0,-57976.468858,-63475.355622,-63294.328844,-47631.187455,-44902.687657,-62363.468094,-47030.506674,-68669.543406,-71321.980217,-66911.019911,187500.0,-187500.022352,-53215.949621,-57678.564808,-69943.324619,-41889.136063
1679629534.048818,0,-57962.029631,-63469.343003,-63325.308362,-47645.559626,-44894.77514,-62364.809199,-46999.504805,-68650.902051,-71318.023958,-66954.874033,187500.0,-187500.022352,-53216.530766,-57748.771638,-70020.326378,-41973.312732
1679629534.048835,0,-57959.906216,-63472.226378,-63206.710006,-47565.249808,-44848.507029,-62363.602205,-47005.875052,-68654.143054,-71319.521525,-66912.942161,187500.0,-187500.022352,-53226.007906,-57648.881692,-69948.97961,-41915.377011
1679629534.048852,0,-57973.496076,-63476.294395,-63331.790368,-47685.502194,-44896.920907,-62361.612899,-47007.462026,-68656.937022,-71316.213467,-66961.579557,187500.0,-187500.022352,-53208.707656,-57656.704802,-69968.58209,-41924.742392
1679629534.048869,0,-57956.285233,-63462.481017,-63228.905288,-47576.090405,-44844.506066,-62337.227146,-47008.914889,-68657.629926,-71309.753813,-66918.127765,187500.0,-187500.022352,-53194.469594,-57708.650256,-69984.921215,-41964.684959
1679629534.048886,0,-57957.492227,-63457.921262,-63269.004317,-47625.130132,-44887.242602,-62345.072609,-47032.004241,-68654.053647,-71294.800495,-66905.566085,187500.0,-187500.022352,-53206.852461,-57722.262469,-69923.073938,-41898.680258
1679629534.048903,0,-57968.489286,-63467.711326,-63331.05276,-47659.395356,-44898.75375,-62356.248481,-47013.139369,-68656.378228,-71305.037594,-66950.671905,187500.0,-187500.022352,-53237.161426,-57697.876715,-70018.381777,-42005.476893
