Timestamp,Label,EXG Channel 0 (Fp1),EXG Channel 1 (Fp2),EXG Channel 2 (C3),EXG Channel 3 (C4),EXG Channel 4 (P7),EXG Channel 5 (P8),EXG Channel 6 (O1),EXG Channel 7 (O2),EXG Channel 8 (F7),EXG Channel 9 (F8),EXG Channel 10 (F3),EXG Channel 11 (F4),EXG Channel 12 (T7),EXG Channel 13 (T8),EXG Channel 14 (P3),EXG Channel 15 (P4)
1680229549.224665,0,-84389.212357,-58691.478812,-76606.849027,-51696.05335,-187500.022352,-54514.183642,187500.0,187500.0,-82088.480245,187500.0,187500.0,187500.0,-42263.103099,-51666.526695,187500.0,187500.0
1680229549.224696,0,-84386.731313,-58712.735321,-76602.892769,-51466.031547,-187500.022352,-54488.166212,187500.0,187500.0,-82297.536111,187500.0,187500.0,187500.0,-41771.99057,-51633.893148,187500.0,187500.0
1680229549.224716,0,-84262.254448,-59268.712612,-76478.706477,-52114.41095,-187500.022352,-54351.328832,187500.0,187500.0,-82093.151759,187500.0,187500.0,187500.0,-42446.745032,-51815.545775,187500.0,187500.0
1680229549.224744,0,-84484.140215,-58416.820576,-76700.860465,-51349.84718,-187500.022352,-54603.344751,187500.0,187500.0,-82242.68493,187500.0,187500.0,187500.0,-41835.53658,-51554.4774,187500.0,187500.0
1680229549.224762,0,-84266.970666,-59232.793359,-76477.320668,-51932.557158,-187500.022352,-54347.126704,187500.0,187500.0,-82230.547932,187500.0,187500.0,187500.0,-42139.140324,-51799.921906,187500.0,187500.0
1680229549.22478,0,-84390.28524,-58724.626449,-76600.836408,-51727.591661,-187500.022352,-54493.083595,187500.0,187500.0,-82106.920434,187500.0,187500.0,187500.0,-42258.990378,-51679.602466,187500.0,187500.0
1680229549.2248,0,-84395.761418,-58708.689655,-76603.943301,-51477.296827,-187500.022352,-54490.088462,187500.0,187500.0,-82307.214416,187500.0,187500.0,187500.0,-41763.4075,-51623.991325,187500.0,187500.0
1680229549.224818,0,-84256.152422,-59266.902121,-76464.557822,-52118.63543,-187500.022352,-54367.109164,187500.0,187500.0,-82118.252768,187500.0,187500.0,187500.0,-42466.727491,-51856.158895,187500.0,187500.0
1680229549.224836,0,-84467.309352,-58409.891535,-76679.849825,-51356.217427,-187500.022352,-54573.751041,187500.0,187500.0,-82237.745194,187500.0,187500.0,187500.0,-41814.034201,-51553.762144,187500.0,187500.0
1680229549.224854,0,-84267.261239,-59226.691333,-76480.338154,-51933.920614,-187500.022352,-54381.213114,187500.0,187500.0,-82246.66354,187500.0,187500.0,187500.0,-42140.481429,-51788.500165,187500.0,187500.0
1680229549.224887,0,-84390.66522,-58739.24449,-76602.043402,-51754.190237,-187500.022352,-54498.895049,187500.0,187500.0,-82102.718306,187500.0,187500.0,187500.0,-42268.311056,-51696.209812,187500.0,187500.0
1680229549.225075,0,-84388.787674,-58711.975361,-76597.729516,-51493.948876,-187500.022352,-54500.347912,187500.0,187500.0,-82315.305747,187500.0,187500.0,187500.0,-41759.607704,-51628.774599,187500.0,187500.0
1680229549.225095,0,-84248.932809,-59272.691223,-76460.981543,-52140.562491,-187500.022352,-54357.408507,187500.0,187500.0,-82101.645422,187500.0,187500.0,187500.0,-42442.252331,-51837.830465,187500.0,187500.0
1680229549.225113,0,-84450.009102,-58402.180183,-76668.405732,-51374.188229,-187500.022352,-54556.920178,187500.0,187500.0,-82222.098973,187500.0,187500.0,187500.0,-41814.213015,-51551.728136,187500.0,187500.0
1680229549.22513,0,-84258.141727,-59212.922658,-76475.733695,-51946.392887,-187500.022352,-54374.038204,187500.0,187500.0,-82210.967804,187500.0,187500.0,187500.0,-42101.92467,-51764.539095,187500.0,187500.0
1680229549.225149,0,-84389.234708,-58748.654574,-76613.174571,-51778.754804,-187500.022352,-54525.42657,187500.0,187500.0,-82103.210044,187500.0,187500.0,187500.0,-42273.004922,-51719.366219,187500.0,187500.0
1680229549.22517,0,-84391.089903,-58691.635274,-76615.834429,-51486.841021,-187500.022352,-54509.601535,187500.0,187500.0,-82314.791657,187500.0,187500.0,187500.0,-41759.831221,-51640.241044,187500.0,187500.0
1680229549.225188,0,-84258.4323,-59268.645557,-76479.175863,-52140.495436,-187500.022352,-54361.253007,187500.0,187500.0,-82113.245978,187500.0,187500.0,187500.0,-42456.289227,-51854.616625,187500.0,187500.0
1680229549.225206,0,-84464.403625,-58401.822555,-76688.544653,-51386.302875,-187500.022352,-54581.708262,187500.0,187500.0,-82240.069776,187500.0,187500.0,187500.0,-41834.083716,-51576.873848,187500.0,187500.0
1680229549.225224,0,-84263.506146,-59213.392045,-76483.154474,-51945.185893,-187500.022352,-54362.080021,187500.0,187500.0,-82243.511944,187500.0,187500.0,187500.0,-42127.562121,-51785.505031,187500.0,187500.0
1680229549.225242,0,-84383.087979,-58754.197807,-76611.341728,-51790.62358,-187500.022352,-54506.405235,187500.0,187500.0,-82103.679431,187500.0,187500.0,187500.0,-42306.599594,-51714.828815,187500.0,187500.0
1680229549.225262,0,-84387.357162,-58683.454535,-76609.44183,-51487.288056,-187500.022352,-54519.145729,187500.0,187500.0,-82314.322271,187500.0,187500.0,187500.0,-41746.151953,-51641.783314,187500.0,187500.0
1680229549.225351,0,-84235.544114,-59259.347231,-76457.785244,-52146.128076,-187500.022352,-54343.48337,187500.0,187500.0,-82096.795094,187500.0,187500.0,187500.0,-42434.250407,-51854.236645,187500.0,187500.0
1680229549.22537,0,-84465.722378,-58388.210343,-76693.082058,-51372.847125,-187500.022352,-54581.954131,187500.0,187500.0,-82231.643168,187500.0,187500.0,187500.0,-41826.95351,-51582.104156,187500.0,187500.0
1680229549.225388,0,-84248.977512,-59179.640911,-76474.929032,-51927.237442,-187500.022352,-54369.679614,187500.0,187500.0,-82232.000796,187500.0,187500.0,187500.0,-42100.114179,-51792.992865,187500.0,187500.0
1680229549.225406,0,-84358.411653,-58736.137597,-76587.827693,-51786.488508,-187500.022352,-54503.432453,187500.0,187500.0,-82075.180957,187500.0,187500.0,187500.0,-42285.365437,-51726.80935,187500.0,187500.0
1680229549.225434,0,-84386.105464,-58659.024079,-76620.997682,-51464.288111,-187500.022352,-54511.814357,187500.0,187500.0,-82306.789733,187500.0,187500.0,187500.0,-41749.460012,-51633.133189,187500.0,187500.0
1680229549.225461,0,-84242.67432,-59245.645612,-76480.986354,-52116.3332,-187500.022352,-54358.526094,187500.0,187500.0,-82112.687184,187500.0,187500.0,187500.0,-42437.11143,-51851.532084,187500.0,187500.0
1680229549.22548,0,-84454.501802,-58395.295846,-76692.299747,-51370.09786,-187500.022352,-54586.133908,187500.0,187500.0,-82221.473124,187500.0,187500.0,187500.0,-41843.113821,-51576.985607,187500.0,187500.0
1680229549.225497,0,-84235.633521,-59159.323175,-76475.733695,-51912.954678,-187500.022352,-54371.445402,187500.0,187500.0,-82232.559589,187500.0,187500.0,187500.0,-42095.442664,-51796.703255,187500.0,187500.0
1680229549.225516,0,-84354.433042,-58732.471911,-76605.016184,-51780.341778,-187500.022352,-54510.719122,187500.0,187500.0,-82072.78932,187500.0,187500.0,187500.0,-42292.182719,-51717.913356,187500.0,187500.0
1680229549.225534,0,-84377.812967,-58643.847244,-76631.123022,-51447.23373,-187500.022352,-54534.680192,187500.0,187500.0,-82298.497236,187500.0,187500.0,187500.0,-41727.868227,-51639.145808,187500.0,187500.0
