Timestamp,Label,EXG Channel 0 (Fp1),EXG Channel 1 (Fp2),EXG Channel 2 (C3),EXG Channel 3 (C4),EXG Channel 4 (P7),EXG Channel 5 (P8),EXG Channel 6 (O1),EXG Channel 7 (O2),EXG Channel 8 (F7),EXG Channel 9 (F8),EXG Channel 10 (F3),EXG Channel 11 (F4),EXG Channel 12 (T7),EXG Channel 13 (T8),EXG Channel 14 (P3),EXG Channel 15 (P4)
1680232936.079334,0,-66686.518989,-28680.752657,-187500.022352,-59549.204653,187500.0,-187500.022352,-187500.022352,-187500.022352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1680232936.079359,0,-66715.240981,-28377.685353,-187500.022352,-59386.461602,187500.0,-187500.022352,-187500.022352,-187500.022352,-61155.110437,-25968.033191,187500.0,-187500.022352,-21019.155803,-42500.232756,-187500.022352,-187500.022352
1680232936.079377,0,-66739.604382,-28509.672404,-187500.022352,-59445.470207,187500.0,-187500.022352,-187500.022352,-187500.022352,-60976.318833,-25323.699453,187500.0,-187500.022352,-21114.933028,-41998.257279,-187500.022352,-187500.022352
1680232936.079396,0,-66683.009766,-28606.902493,-187500.022352,-59591.270636,187500.0,-187500.022352,-187500.022352,-187500.022352,-61232.358066,-26050.689942,187500.0,-187500.022352,-21018.105271,-42593.104254,-187500.022352,-187500.022352
1680232936.079413,0,-66784.643148,-28302.203512,-187500.022352,-59360.399468,187500.0,-187500.022352,-187500.022352,-187500.022352,-61002.984465,-25620.552971,187500.0,-187500.022352,-21056.617326,-42304.565585,-187500.022352,-187500.022352
1680232936.079429,0,-66680.148742,-28669.934412,-187500.022352,-59650.435704,187500.0,-187500.022352,-187500.022352,-187500.022352,-61131.238774,-25668.922146,187500.0,-187500.022352,-21080.868969,-42326.336184,-187500.022352,-187500.022352
1680232936.079446,0,-66754.17772,-28390.336441,-187500.022352,-59470.928844,187500.0,-187500.022352,-187500.022352,-187500.022352,-61153.255242,-26080.417762,187500.0,-187500.022352,-20997.988701,-42721.470323,-187500.022352,-187500.022352
1680232936.079463,0,-66768.482836,-28493.08741,-187500.022352,-59496.63335,187500.0,-187500.022352,-187500.022352,-187500.022352,-60981.52679,-25407.339681,187500.0,-187500.022352,-21087.93212,-42186.660133,-187500.022352,-187500.022352
1680232936.079481,0,-66734.70935,-28606.880141,-187500.022352,-59611.543669,187500.0,-187500.022352,-187500.022352,-187500.022352,-61234.727351,-26089.336108,187500.0,-187500.022352,-21014.596047,-42723.973718,-187500.022352,-187500.022352
1680232936.079498,0,-66788.107668,-28304.081059,-187500.022352,-59379.152582,187500.0,-187500.022352,-187500.022352,-187500.022352,-61009.399415,-25643.441158,187500.0,-187500.022352,-21064.619251,-42402.443874,-187500.022352,-187500.022352
1680232936.079515,0,-66670.090457,-28660.390217,-187500.022352,-59667.266568,187500.0,-187500.022352,-187500.022352,-187500.022352,-61128.131882,-25661.322553,187500.0,-187500.022352,-21070.162483,-42393.257307,-187500.022352,-187500.022352
1680232936.079652,0,-66771.522674,-28368.610545,-187500.022352,-59470.481809,187500.0,-187500.022352,-187500.022352,-187500.022352,-61164.006432,-26079.031954,187500.0,-187500.022352,-20991.976081,-42789.911364,-187500.022352,-187500.022352
1680232936.079671,0,-66755.250604,-28466.220613,-187500.022352,-59513.955952,187500.0,-187500.022352,-187500.022352,-187500.022352,-61002.649188,-25395.292091,187500.0,-187500.022352,-21146.87367,-42224.523988,-187500.022352,-187500.022352
1680232936.079688,0,-66685.893141,-28600.554597,-187500.022352,-59648.71462,187500.0,-187500.022352,-187500.022352,-187500.022352,-61248.004287,-26108.044518,187500.0,-187500.022352,-21039.853518,-42799.992001,-187500.022352,-187500.022352
