Timestamp,Label,EXG Channel 0 (Fp1),EXG Channel 1 (Fp2),EXG Channel 2 (C3),EXG Channel 3 (C4),EXG Channel 4 (P7),EXG Channel 5 (P8),EXG Channel 6 (O1),EXG Channel 7 (O2),EXG Channel 8 (F7),EXG Channel 9 (F8),EXG Channel 10 (F3),EXG Channel 11 (F4),EXG Channel 12 (T7),EXG Channel 13 (T8),EXG Channel 14 (P3),EXG Channel 15 (P4)
1680234180.847309,0,-89183.460377,-76523.655835,-187500.022352,-187500.022352,187500.0,187500.0,-187500.022352,187500.0,-63281.431887,-54020.388904,-187500.022352,-98207.261945,-179714.082743,-187500.022352,-187500.022352,-187500.022352
1680234180.847337,0,-89184.734426,-76451.303238,-187500.022352,-187500.022352,187500.0,187500.0,-187500.022352,187500.0,-63230.84989,-54113.930954,-187500.022352,-98117.653801,-179792.96205,-187500.022352,-187500.022352,-187500.022352
1680234180.847355,0,-89209.343697,-76552.04255,-187500.022352,-187500.022352,187500.0,187500.0,-187500.022352,187500.0,-63273.452315,-53417.584707,-187500.022352,-97943.846636,-179316.825189,-187500.022352,-187500.022352,-187500.022352
1680234180.847375,0,-89175.123176,-76480.606375,-187500.022352,-187500.022352,187500.0,187500.0,-187500.022352,187500.0,-63251.189977,-54424.284926,-187500.022352,-98312.896289,-179592.533957,-187500.022352,-187500.022352,-187500.022352
1680234180.847393,0,-89209.969546,-76525.376919,-187500.022352,-187500.022352,187500.0,187500.0,-187500.022352,187500.0,-63235.588459,-53488.685607,-187500.022352,-97877.26079,-179183.631144,-187500.022352,-187500.022352,-187500.022352
1680234180.847412,0,-89199.687743,-76549.159175,-187500.022352,-187500.022352,187500.0,187500.0,-187500.022352,187500.0,-63286.438678,-53998.640656,-187500.022352,-98205.764378,-179102.762533,-187500.022352,-187500.022352,-187500.022352
1680234180.847429,0,-89189.808272,-76473.185596,-187500.022352,-187500.022352,187500.0,187500.0,-187500.022352,187500.0,-63242.964535,-54101.70455,-187500.022352,-98118.883147,-179143.442707,-187500.022352,-187500.022352,-187500.022352
1680234180.847447,0,-89210.975374,-76564.693637,-187500.022352,-187500.022352,187500.0,187500.0,-187500.022352,187500.0,-63278.90614,-53417.87528,-187500.022352,-97942.259662,-178667.350551,-187500.022352,-187500.022352,-187500.022352
1680234180.847467,0,-89187.528394,-76490.195273,-187500.022352,-187500.022352,187500.0,187500.0,-187500.022352,187500.0,-63268.512579,-54420.082798,-187500.022352,-98312.918641,-178936.622016,-187500.022352,-187500.022352,-187500.022352
1680234180.847489,0,-89214.551653,-76528.752032,-187500.022352,-187500.022352,187500.0,187500.0,-187500.022352,187500.0,-63245.266765,-53509.450377,-187500.022352,-97890.85065,-178541.934912,-187500.022352,-187500.022352,-187500.022352
1680234180.847515,0,-89179.839394,-76531.903628,-187500.022352,-187500.022352,187500.0,187500.0,-187500.022352,187500.0,-63289.769088,-54018.243136,-187500.022352,-98219.577756,-178492.112874,-187500.022352,-187500.022352,-187500.022352
1680234180.847675,0,-89191.372894,-76476.068971,-187500.022352,-187500.022352,187500.0,187500.0,-187500.022352,187500.0,-63227.832404,-54133.578138,-187500.022352,-98128.472045,-178579.307029,-187500.022352,-187500.022352,-187500.022352
1680234180.847694,0,-89219.849017,-76575.020143,-187500.022352,-187500.022352,187500.0,187500.0,-187500.022352,187500.0,-63273.407611,-53430.191091,-187500.022352,-97942.080848,-178109.361602,-187500.022352,-187500.022352,-187500.022352
1680234180.847714,0,-89192.713999,-76501.125276,-187500.022352,-187500.022352,187500.0,187500.0,-187500.022352,187500.0,-63283.600007,-54404.86126,-187500.022352,-98319.691219,-178348.122936,-187500.022352,-187500.022352,-187500.022352
1680234180.847732,0,-89225.861636,-76546.767538,-187500.022352,-187500.022352,187500.0,187500.0,-187500.022352,187500.0,-63248.708933,-53525.029543,-187500.022352,-97910.07315,-177979.654429,-187500.022352,-187500.022352,-187500.022352
1680234180.847749,0,-89197.72079,-76555.417664,-187500.022352,-187500.022352,187500.0,187500.0,-187500.022352,187500.0,-63282.057736,-54006.977857,-187500.022352,-98230.328945,-177916.89073,-187500.022352,-187500.022352,-187500.022352
1680234180.847771,0,-89210.327174,-76503.136933,-187500.022352,-187500.022352,187500.0,187500.0,-187500.022352,187500.0,-63244.730323,-54132.996992,-187500.022352,-98151.427287,-178002.85554,-187500.022352,-187500.022352,-187500.022352
1680234180.84779,0,-89242.647796,-76611.386432,-187500.022352,-187500.022352,187500.0,187500.0,-187500.022352,187500.0,-63313.506641,-53425.832501,-187500.022352,-97972.322759,-177527.948025,-187500.022352,-187500.022352,-187500.022352
1680234180.847808,0,-89198.212528,-76517.330291,-187500.022352,-187500.022352,187500.0,187500.0,-187500.022352,187500.0,-63291.087841,-54423.033228,-187500.022352,-98360.594912,-177794.112598,-187500.022352,-187500.022352,-187500.022352
1680234180.847826,0,-89236.456363,-76561.184414,-187500.022352,-187500.022352,187500.0,187500.0,-187500.022352,187500.0,-63266.322108,-53537.077133,-187500.022352,-97945.791238,-177446.811193,-187500.022352,-187500.022352,-187500.022352
1680234180.847843,0,-89229.50497,-76588.118266,-187500.022352,-187500.022352,187500.0,187500.0,-187500.022352,187500.0,-63333.131472,-53975.350139,-187500.022352,-98241.817742,-177359.818203,-187500.022352,-187500.022352,-187500.022352
1680234180.847861,0,-89227.917996,-76521.577122,-187500.022352,-187500.022352,187500.0,187500.0,-187500.022352,187500.0,-63272.670003,-54115.294411,-187500.022352,-98179.232857,-177453.270847,-187500.022352,-187500.022352,-187500.022352
