Timestamp,Label,EXG Channel 0 (Fp1),EXG Channel 1 (Fp2),EXG Channel 2 (C3),EXG Channel 3 (C4),EXG Channel 4 (P7),EXG Channel 5 (P8),EXG Channel 6 (O1),EXG Channel 7 (O2),EXG Channel 8 (F7),EXG Channel 9 (F8),EXG Channel 10 (F3),EXG Channel 11 (F4),EXG Channel 12 (T7),EXG Channel 13 (T8),EXG Channel 14 (P3),EXG Channel 15 (P4)
1680230631.046498,0,187500.0,-187500.022352,-83232.643692,-87159.196992,-187500.022352,-79440.133803,187500.0,-187500.022352,-187500.022352,-25435.659341,187500.0,187500.0,-87711.352135,-84031.405631,187500.0,187500.0
1680230631.046525,0,187500.0,-187500.022352,-83237.806945,-87096.679163,-187500.022352,-79519.348385,187500.0,-187500.022352,-187500.022352,-25997.939825,187500.0,187500.0,-87305.667973,-83633.589284,187500.0,187500.0
1680230631.046543,0,187500.0,-187500.022352,-83461.59261,-87025.801781,-187500.022352,-79705.314899,187500.0,-187500.022352,-187500.022352,-25349.02398,187500.0,187500.0,-87749.059528,-84088.424932,187500.0,187500.0
1680230631.046564,0,187500.0,-187500.022352,-83089.12314,-87247.19581,-187500.022352,-79304.79399,187500.0,-187500.022352,-187500.022352,-25424.416414,187500.0,187500.0,-87448.763841,-83766.895088,187500.0,187500.0
1680230631.046584,0,187500.0,-187500.022352,-83495.902538,-86994.956374,-187500.022352,-79786.787008,187500.0,-187500.022352,-187500.022352,-25651.934821,187500.0,187500.0,-87508.442999,-83855.184478,187500.0,187500.0
1680230631.046602,0,187500.0,-187500.022352,-83249.228686,-87207.566167,-187500.022352,-79478.645859,187500.0,-187500.022352,-187500.022352,-25007.936359,187500.0,187500.0,-87698.410475,-84041.486268,187500.0,187500.0
1680230631.046619,0,187500.0,-187500.022352,-83281.683419,-87149.094003,-187500.022352,-79593.757343,187500.0,-187500.022352,-187500.022352,-25625.805631,187500.0,187500.0,-87324.577549,-83690.228604,187500.0,187500.0
1680230631.046636,0,187500.0,-187500.022352,-83479.988096,-87076.652,-187500.022352,-79765.016409,187500.0,-187500.022352,-187500.022352,-25101.590169,187500.0,187500.0,-87748.858362,-84130.133287,187500.0,187500.0
1680230631.046653,0,187500.0,-187500.022352,-83130.719737,-87280.075226,-187500.022352,-79389.395343,187500.0,-187500.022352,-187500.022352,-25196.696841,187500.0,187500.0,-87447.109812,-83800.132132,187500.0,187500.0
1680230631.046671,0,187500.0,-187500.022352,-83487.922965,-87035.793011,-187500.022352,-79812.849142,187500.0,-187500.022352,-187500.022352,-25455.664153,187500.0,187500.0,-87532.426421,-83917.389383,187500.0,187500.0
1680230631.046688,0,187500.0,-187500.022352,-83254.906029,-87217.423286,-187500.022352,-79478.578803,187500.0,-187500.022352,-187500.022352,-24870.942518,187500.0,187500.0,-87675.097606,-84046.537762,187500.0,187500.0
1680230631.046848,0,187500.0,-187500.022352,-83255.330712,-87146.970588,-187500.022352,-79524.556342,187500.0,-187500.022352,-187500.022352,-25472.271499,187500.0,187500.0,-87322.945872,-83685.624145,187500.0,187500.0
1680230631.046873,0,187500.0,-187500.022352,-83442.459517,-87052.869743,-187500.022352,-79689.288698,187500.0,-187500.022352,-187500.022352,-24968.016144,187500.0,187500.0,-87718.772914,-84082.971106,187500.0,187500.0
1680230631.046894,0,187500.0,-187500.022352,-83090.419542,-87247.396975,-187500.022352,-79325.491706,187500.0,-187500.022352,-187500.022352,-25070.767113,187500.0,187500.0,-87406.85432,-83752.075881,187500.0,187500.0
1680230631.046918,0,187500.0,-187500.022352,-83455.512936,-86994.509339,-187500.022352,-79768.659743,187500.0,-187500.022352,-187500.022352,-25338.608067,187500.0,187500.0,-87499.99404,-83877.200946,187500.0,187500.0
1680230631.046937,0,187500.0,-187500.022352,-83238.119869,-87178.821823,-187500.022352,-79442.726605,187500.0,-187500.022352,-187500.022352,-24723.331597,187500.0,187500.0,-87670.560201,-84027.605835,187500.0,187500.0
1680230631.046958,0,187500.0,-187500.022352,-83237.583427,-87122.450724,-187500.022352,-79511.055888,187500.0,-187500.022352,-187500.022352,-25391.246425,187500.0,187500.0,-87297.487235,-83639.065461,187500.0,187500.0
1680230631.046976,0,187500.0,-187500.022352,-83472.254392,-87029.646281,-187500.022352,-79733.880429,187500.0,-187500.022352,-187500.022352,-24855.341,187500.0,187500.0,-87745.058566,-84101.813627,187500.0,187500.0
1680230631.046993,0,187500.0,-187500.022352,-83075.913259,-87255.376548,-187500.022352,-79315.344014,187500.0,-187500.022352,-187500.022352,-24933.572106,187500.0,187500.0,-87429.563693,-83780.663762,187500.0,187500.0
1680230631.047011,0,187500.0,-187500.022352,-83428.579084,-86996.856272,-187500.022352,-79742.754071,187500.0,-187500.022352,-187500.022352,-25263.327392,187500.0,187500.0,-87474.043664,-83837.459545,187500.0,187500.0
1680230631.047028,0,187500.0,-187500.022352,-83214.404668,-87177.145443,-187500.022352,-79455.020065,187500.0,-187500.022352,-187500.022352,-24618.703081,187500.0,187500.0,-87648.677844,-84015.044155,187500.0,187500.0
1680230631.047045,0,187500.0,-187500.022352,-83235.817639,-87129.647986,-187500.022352,-79556.653447,187500.0,-187500.022352,-187500.022352,-25273.989174,187500.0,187500.0,-87300.258851,-83667.742749,187500.0,187500.0
1680230631.047121,0,187500.0,-187500.022352,-83419.794848,-87027.634624,-187500.022352,-79728.337196,187500.0,-187500.022352,-187500.022352,-24748.365551,187500.0,187500.0,-87710.793341,-84082.300554,187500.0,187500.0
1680230631.047139,0,187500.0,-187500.022352,-83063.6198,-87243.440717,-187500.022352,-79346.770566,187500.0,-187500.022352,-187500.022352,-24798.522866,187500.0,187500.0,-87425.115696,-83782.183681,187500.0,187500.0
1680230631.047158,0,187500.0,-187500.022352,-83442.280703,-86995.559871,-187500.022352,-79816.894807,187500.0,-187500.022352,-187500.022352,-25136.771814,187500.0,187500.0,-87467.382844,-83846.042615,187500.0,187500.0
1680230631.047175,0,187500.0,-187500.022352,-83206.581558,-87173.636219,-187500.022352,-79463.021989,187500.0,-187500.022352,-187500.022352,-24483.720897,187500.0,187500.0,-87667.095681,-84043.386166,187500.0,187500.0
1680230631.047193,0,187500.0,-187500.022352,-83194.355153,-87122.003689,-187500.022352,-79493.442713,187500.0,-187500.022352,-187500.022352,-25157.536585,187500.0,187500.0,-87263.423176,-83615.774943,187500.0,187500.0
1680230631.04721,0,187500.0,-187500.022352,-83441.09606,-87014.268281,-187500.022352,-79755.785138,187500.0,-187500.022352,-187500.022352,-24677.421114,187500.0,187500.0,-87706.144179,-84078.880737,187500.0,187500.0
1680230631.047227,0,187500.0,-187500.022352,-83081.367085,-87240.043252,-187500.022352,-79353.297276,187500.0,-187500.022352,-187500.022352,-24691.21214,187500.0,187500.0,-87442.706518,-83822.841504,187500.0,187500.0
1680230631.047245,0,187500.0,-187500.022352,-83423.28172,-86994.934022,-187500.022352,-79761.663647,187500.0,-187500.022352,-187500.022352,-25048.705941,187500.0,187500.0,-87456.743414,-83844.254475,187500.0,187500.0
1680230631.047262,0,187500.0,-187500.022352,-83219.634976,-87163.354416,-187500.022352,-79474.17551,187500.0,-187500.022352,-187500.022352,-24412.664701,187500.0,187500.0,-87686.094664,-84052.975065,187500.0,187500.0
1680230631.047279,0,187500.0,-187500.022352,-83168.717702,-87132.061974,-187500.022352,-79480.299888,187500.0,-187500.022352,-187500.022352,-25035.183136,187500.0,187500.0,-87250.816792,-83628.224865,187500.0,187500.0
1680230631.047322,0,187500.0,-187500.022352,-83438.994996,-87024.259511,-187500.022352,-79739.736586,187500.0,-187500.022352,-187500.022352,-24628.984884,187500.0,187500.0,-87691.861414,-84089.721333,187500.0,187500.0
1680230631.04734,0,187500.0,-187500.022352,-83062.770434,-87240.378528,-187500.022352,-79334.790031,187500.0,-187500.022352,-187500.022352,-24622.838154,187500.0,187500.0,-87417.806675,-83801.182664,187500.0,187500.0
1680230631.04736,0,187500.0,-187500.022352,-83403.075743,-87011.094333,-187500.022352,-79760.233135,187500.0,-187500.022352,-187500.022352,-24971.972403,187500.0,187500.0,-87427.015594,-83838.465373,187500.0,187500.0
1680230631.047379,0,187500.0,-187500.022352,-83206.402744,-87164.472004,-187500.022352,-79476.947126,187500.0,-187500.022352,-187500.022352,-24408.954311,187500.0,187500.0,-87631.198779,-84032.456163,187500.0,187500.0
1680230631.047398,0,187500.0,-187500.022352,-83189.750694,-87134.274797,-187500.022352,-79515.101554,187500.0,-187500.022352,-187500.022352,-24976.666269,187500.0,187500.0,-87255.309493,-83641.278284,187500.0,187500.0
1680230631.047415,0,187500.0,-187500.022352,-83448.203915,-87034.49661,-187500.022352,-79755.248696,187500.0,-187500.022352,-187500.022352,-24587.410639,187500.0,187500.0,-87710.122789,-84111.022545,187500.0,187500.0
1680230631.047433,0,187500.0,-187500.022352,-83018.424573,-87237.651615,-187500.022352,-79295.69683,187500.0,-187500.022352,-187500.022352,-24583.163808,187500.0,187500.0,-87381.708608,-83763.20705,187500.0,187500.0
1680230631.04745,0,187500.0,-187500.022352,-83430.769554,-87012.927176,-187500.022352,-79777.667496,187500.0,-187500.022352,-187500.022352,-24920.630446,187500.0,187500.0,-87417.113771,-83826.551894,187500.0,187500.0
1680230631.047467,0,187500.0,-187500.022352,-83228.463915,-87175.983152,-187500.022352,-79481.708048,187500.0,-187500.022352,-187500.022352,-24402.002919,187500.0,187500.0,-87672.504803,-84067.25783,187500.0,187500.0
1680230631.047484,0,187500.0,-187500.022352,-83191.024743,-87147.998768,-187500.022352,-79506.160856,187500.0,-187500.022352,-187500.022352,-24875.859901,187500.0,187500.0,-87262.842031,-83647.402662,187500.0,187500.0
1680230631.047502,0,187500.0,-187500.022352,-83474.668381,-87052.847392,-187500.022352,-79776.684019,187500.0,-187500.022352,-187500.022352,-24570.646831,187500.0,187500.0,-87710.949804,-84121.103182,187500.0,187500.0
1680230631.047568,0,187500.0,-187500.022352,-83078.617821,-87252.046138,-187500.022352,-79335.304121,187500.0,-187500.022352,-187500.022352,-24532.96179,187500.0,187500.0,-87445.299321,-83821.925082,187500.0,187500.0
1680230631.047586,0,187500.0,-187500.022352,-83453.925962,-87036.68708,-187500.022352,-79792.889034,187500.0,-187500.022352,-187500.022352,-24848.099035,187500.0,187500.0,-87446.729832,-83848.367196,187500.0,187500.0
1680230631.047603,0,187500.0,-187500.022352,-83261.365683,-87182.196937,-187500.022352,-79526.679757,187500.0,-187500.022352,-187500.022352,-24355.75716,187500.0,187500.0,-87703.976059,-84085.183929,187500.0,187500.0
1680230631.04762,0,187500.0,-187500.022352,-83198.311412,-87156.313617,-187500.022352,-79526.880923,187500.0,-187500.022352,-187500.022352,-24802.613235,187500.0,187500.0,-87292.882775,-83667.027493,187500.0,187500.0
1680230631.047637,0,187500.0,-187500.022352,-83476.098892,-87056.423671,-187500.022352,-79794.565415,187500.0,-187500.022352,-187500.022352,-24521.987083,187500.0,187500.0,-87718.281176,-84127.316967,187500.0,187500.0
1680230631.047657,0,187500.0,-187500.022352,-83069.118329,-87255.667121,-187500.022352,-79339.863877,187500.0,-187500.022352,-187500.022352,-24479.9211,187500.0,187500.0,-87438.705556,-83828.854123,187500.0,187500.0
1680230631.047674,0,187500.0,-187500.022352,-83423.415831,-87037.938778,-187500.022352,-79758.310885,187500.0,-187500.022352,-187500.022352,-24818.95236,187500.0,187500.0,-87412.554015,-83828.161219,187500.0,187500.0
1680230631.047691,0,187500.0,-187500.022352,-83267.199489,-87172.317466,-187500.022352,-79503.143371,187500.0,-187500.022352,-187500.022352,-24328.443328,187500.0,187500.0,-87704.333687,-84091.263603,187500.0,187500.0
